"subject_id" "activity_label" "feature" "mean"
"1" 1 "laying" "tBodyAcc-mean()-X" 0.22159824394
"2" 2 "laying" "tBodyAcc-mean()-X" 0.281373403958333
"3" 3 "laying" "tBodyAcc-mean()-X" 0.275516852741935
"4" 4 "laying" "tBodyAcc-mean()-X" 0.263559214981481
"5" 5 "laying" "tBodyAcc-mean()-X" 0.278334325576923
"6" 6 "laying" "tBodyAcc-mean()-X" 0.248656520140351
"7" 7 "laying" "tBodyAcc-mean()-X" 0.250176694038462
"8" 8 "laying" "tBodyAcc-mean()-X" 0.261254282907407
"9" 9 "laying" "tBodyAcc-mean()-X" 0.2591955368
"10" 10 "laying" "tBodyAcc-mean()-X" 0.280230574137931
"11" 11 "laying" "tBodyAcc-mean()-X" 0.280592970877193
"12" 12 "laying" "tBodyAcc-mean()-X" 0.260113433
"13" 13 "laying" "tBodyAcc-mean()-X" 0.276716360483871
"14" 14 "laying" "tBodyAcc-mean()-X" 0.233275439803922
"15" 15 "laying" "tBodyAcc-mean()-X" 0.2894756525
"16" 16 "laying" "tBodyAcc-mean()-X" 0.274227162571429
"17" 17 "laying" "tBodyAcc-mean()-X" 0.269780085577465
"18" 18 "laying" "tBodyAcc-mean()-X" 0.274691576923077
"19" 19 "laying" "tBodyAcc-mean()-X" 0.272653733493976
"20" 20 "laying" "tBodyAcc-mean()-X" 0.239507882205882
"21" 21 "laying" "tBodyAcc-mean()-X" 0.271325472455556
"22" 22 "laying" "tBodyAcc-mean()-X" 0.279959721194444
"23" 23 "laying" "tBodyAcc-mean()-X" 0.274038007986111
"24" 24 "laying" "tBodyAcc-mean()-X" 0.272850494930556
"25" 25 "laying" "tBodyAcc-mean()-X" 0.250791828613699
"26" 26 "laying" "tBodyAcc-mean()-X" 0.271645864540789
"27" 27 "laying" "tBodyAcc-mean()-X" 0.274102492432432
"28" 28 "laying" "tBodyAcc-mean()-X" 0.2759134825
"29" 29 "laying" "tBodyAcc-mean()-X" 0.287295196811594
"30" 30 "laying" "tBodyAcc-mean()-X" 0.281033900571429
"31" 1 "sitting" "tBodyAcc-mean()-X" 0.261237565425532
"32" 2 "sitting" "tBodyAcc-mean()-X" 0.27708735173913
"33" 3 "sitting" "tBodyAcc-mean()-X" 0.257197599134615
"34" 4 "sitting" "tBodyAcc-mean()-X" 0.27153827992
"35" 5 "sitting" "tBodyAcc-mean()-X" 0.273694139545455
"36" 6 "sitting" "tBodyAcc-mean()-X" 0.276778487454545
"37" 7 "sitting" "tBodyAcc-mean()-X" 0.284674637291667
"38" 8 "sitting" "tBodyAcc-mean()-X" 0.267491472934783
"39" 9 "sitting" "tBodyAcc-mean()-X" 0.24832674354
"40" 10 "sitting" "tBodyAcc-mean()-X" 0.270612056481481
"41" 11 "sitting" "tBodyAcc-mean()-X" 0.276590197358491
"42" 12 "sitting" "tBodyAcc-mean()-X" 0.275007224901961
"43" 13 "sitting" "tBodyAcc-mean()-X" 0.274328499591837
"44" 14 "sitting" "tBodyAcc-mean()-X" 0.279990577037037
"45" 15 "sitting" "tBodyAcc-mean()-X" 0.27290337979661
"46" 16 "sitting" "tBodyAcc-mean()-X" 0.280768574492754
"47" 17 "sitting" "tBodyAcc-mean()-X" 0.2773570196875
"48" 18 "sitting" "tBodyAcc-mean()-X" 0.27727001877193
"49" 19 "sitting" "tBodyAcc-mean()-X" 0.273830316164384
"50" 20 "sitting" "tBodyAcc-mean()-X" 0.278045439090909
"51" 21 "sitting" "tBodyAcc-mean()-X" 0.277539616823529
"52" 22 "sitting" "tBodyAcc-mean()-X" 0.273583822709677
"53" 23 "sitting" "tBodyAcc-mean()-X" 0.273351251617647
"54" 24 "sitting" "tBodyAcc-mean()-X" 0.273475690147059
"55" 25 "sitting" "tBodyAcc-mean()-X" 0.278541482461538
"56" 26 "sitting" "tBodyAcc-mean()-X" 0.258243530166667
"57" 27 "sitting" "tBodyAcc-mean()-X" 0.273941302571429
"58" 28 "sitting" "tBodyAcc-mean()-X" 0.276977629444444
"59" 29 "sitting" "tBodyAcc-mean()-X" 0.2771799775
"60" 30 "sitting" "tBodyAcc-mean()-X" 0.268336081379032
"61" 1 "standing" "tBodyAcc-mean()-X" 0.278917629056604
"62" 2 "standing" "tBodyAcc-mean()-X" 0.277911472222222
"63" 3 "standing" "tBodyAcc-mean()-X" 0.280046513278689
"64" 4 "standing" "tBodyAcc-mean()-X" 0.280499745892857
"65" 5 "standing" "tBodyAcc-mean()-X" 0.282544390892857
"66" 6 "standing" "tBodyAcc-mean()-X" 0.280346248596491
"67" 7 "standing" "tBodyAcc-mean()-X" 0.282723539433962
"68" 8 "standing" "tBodyAcc-mean()-X" 0.279620986111111
"69" 9 "standing" "tBodyAcc-mean()-X" 0.282310057333333
"70" 10 "standing" "tBodyAcc-mean()-X" 0.276650300681818
"71" 11 "standing" "tBodyAcc-mean()-X" 0.277715562765957
"72" 12 "standing" "tBodyAcc-mean()-X" 0.277405834918033
"73" 13 "standing" "tBodyAcc-mean()-X" 0.277758431052632
"74" 14 "standing" "tBodyAcc-mean()-X" 0.280545613833333
"75" 15 "standing" "tBodyAcc-mean()-X" 0.278915803962264
"76" 16 "standing" "tBodyAcc-mean()-X" 0.283497402948718
"77" 17 "standing" "tBodyAcc-mean()-X" 0.277942503333333
"78" 18 "standing" "tBodyAcc-mean()-X" 0.278458805890411
"79" 19 "standing" "tBodyAcc-mean()-X" 0.27817226
"80" 20 "standing" "tBodyAcc-mean()-X" 0.278076904657534
"81" 21 "standing" "tBodyAcc-mean()-X" 0.27695224258427
"82" 22 "standing" "tBodyAcc-mean()-X" 0.279053861587302
"83" 23 "standing" "tBodyAcc-mean()-X" 0.277899323235294
"84" 24 "standing" "tBodyAcc-mean()-X" 0.280348883913043
"85" 25 "standing" "tBodyAcc-mean()-X" 0.278013701621622
"86" 26 "standing" "tBodyAcc-mean()-X" 0.281127035405405
"87" 27 "standing" "tBodyAcc-mean()-X" 0.279566921625
"88" 28 "standing" "tBodyAcc-mean()-X" 0.277795069113924
"89" 29 "standing" "tBodyAcc-mean()-X" 0.277965065846154
"90" 30 "standing" "tBodyAcc-mean()-X" 0.277112699152542
"91" 1 "walking" "tBodyAcc-mean()-X" 0.277330758736842
"92" 2 "walking" "tBodyAcc-mean()-X" 0.276426586440678
"93" 3 "walking" "tBodyAcc-mean()-X" 0.275567462068966
"94" 4 "walking" "tBodyAcc-mean()-X" 0.278582015166667
"95" 5 "walking" "tBodyAcc-mean()-X" 0.27784234625
"96" 6 "walking" "tBodyAcc-mean()-X" 0.283658868070175
"97" 7 "walking" "tBodyAcc-mean()-X" 0.275592961754386
"98" 8 "walking" "tBodyAcc-mean()-X" 0.27468631
"99" 9 "walking" "tBodyAcc-mean()-X" 0.278502842115385
"100" 10 "walking" "tBodyAcc-mean()-X" 0.278574076603774
"101" 11 "walking" "tBodyAcc-mean()-X" 0.271821892881356
"102" 12 "walking" "tBodyAcc-mean()-X" 0.2771286656
"103" 13 "walking" "tBodyAcc-mean()-X" 0.275883130350877
"104" 14 "walking" "tBodyAcc-mean()-X" 0.271959598644068
"105" 15 "walking" "tBodyAcc-mean()-X" 0.273899207962963
"106" 16 "walking" "tBodyAcc-mean()-X" 0.276023564509804
"107" 17 "walking" "tBodyAcc-mean()-X" 0.272341855245902
"108" 18 "walking" "tBodyAcc-mean()-X" 0.273887758571429
"109" 19 "walking" "tBodyAcc-mean()-X" 0.273931172307692
"110" 20 "walking" "tBodyAcc-mean()-X" 0.272589336470588
"111" 21 "walking" "tBodyAcc-mean()-X" 0.279183526730769
"112" 22 "walking" "tBodyAcc-mean()-X" 0.27886459
"113" 23 "walking" "tBodyAcc-mean()-X" 0.273211884237288
"114" 24 "walking" "tBodyAcc-mean()-X" 0.276980816034483
"115" 25 "walking" "tBodyAcc-mean()-X" 0.278992759054054
"116" 26 "walking" "tBodyAcc-mean()-X" 0.279264443728814
"117" 27 "walking" "tBodyAcc-mean()-X" 0.276849485438596
"118" 28 "walking" "tBodyAcc-mean()-X" 0.281228223888889
"119" 29 "walking" "tBodyAcc-mean()-X" 0.271999916792453
"120" 30 "walking" "tBodyAcc-mean()-X" 0.276406758
"121" 1 "walking_downstairs" "tBodyAcc-mean()-X" 0.289188320408163
"122" 2 "walking_downstairs" "tBodyAcc-mean()-X" 0.27761534806383
"123" 3 "walking_downstairs" "tBodyAcc-mean()-X" 0.292423484693878
"124" 4 "walking_downstairs" "tBodyAcc-mean()-X" 0.279965329555556
"125" 5 "walking_downstairs" "tBodyAcc-mean()-X" 0.29354392712766
"126" 6 "walking_downstairs" "tBodyAcc-mean()-X" 0.277045258145833
"127" 7 "walking_downstairs" "tBodyAcc-mean()-X" 0.28030708
"128" 8 "walking_downstairs" "tBodyAcc-mean()-X" 0.283484089210526
"129" 9 "walking_downstairs" "tBodyAcc-mean()-X" 0.295923445
"130" 10 "walking_downstairs" "tBodyAcc-mean()-X" 0.290401594315789
"131" 11 "walking_downstairs" "tBodyAcc-mean()-X" 0.291605631956522
"132" 12 "walking_downstairs" "tBodyAcc-mean()-X" 0.281521097391304
"133" 13 "walking_downstairs" "tBodyAcc-mean()-X" 0.294907553404255
"134" 14 "walking_downstairs" "tBodyAcc-mean()-X" 0.293422115555556
"135" 15 "walking_downstairs" "tBodyAcc-mean()-X" 0.280198851190476
"136" 16 "walking_downstairs" "tBodyAcc-mean()-X" 0.295586802191489
"137" 17 "walking_downstairs" "tBodyAcc-mean()-X" 0.29391828326087
"138" 18 "walking_downstairs" "tBodyAcc-mean()-X" 0.288439468909091
"139" 19 "walking_downstairs" "tBodyAcc-mean()-X" 0.262688053871795
"140" 20 "walking_downstairs" "tBodyAcc-mean()-X" 0.296144421355556
"141" 21 "walking_downstairs" "tBodyAcc-mean()-X" 0.3014610196
"142" 22 "walking_downstairs" "tBodyAcc-mean()-X" 0.284458963861111
"143" 23 "walking_downstairs" "tBodyAcc-mean()-X" 0.289897411148148
"144" 24 "walking_downstairs" "tBodyAcc-mean()-X" 0.288631208909091
"145" 25 "walking_downstairs" "tBodyAcc-mean()-X" 0.291329666206897
"146" 26 "walking_downstairs" "tBodyAcc-mean()-X" 0.2792845828
"147" 27 "walking_downstairs" "tBodyAcc-mean()-X" 0.2975441875
"148" 28 "walking_downstairs" "tBodyAcc-mean()-X" 0.293642076521739
"149" 29 "walking_downstairs" "tBodyAcc-mean()-X" 0.293140441083333
"150" 30 "walking_downstairs" "tBodyAcc-mean()-X" 0.283190646967742
"151" 1 "walking_upstairs" "tBodyAcc-mean()-X" 0.255461689622641
"152" 2 "walking_upstairs" "tBodyAcc-mean()-X" 0.247164790395833
"153" 3 "walking_upstairs" "tBodyAcc-mean()-X" 0.260819873067797
"154" 4 "walking_upstairs" "tBodyAcc-mean()-X" 0.270876696730769
"155" 5 "walking_upstairs" "tBodyAcc-mean()-X" 0.268459469914894
"156" 6 "walking_upstairs" "tBodyAcc-mean()-X" 0.268229355098039
"157" 7 "walking_upstairs" "tBodyAcc-mean()-X" 0.248706923078431
"158" 8 "walking_upstairs" "tBodyAcc-mean()-X" 0.258880152048781
"159" 9 "walking_upstairs" "tBodyAcc-mean()-X" 0.262436475714286
"160" 10 "walking_upstairs" "tBodyAcc-mean()-X" 0.267121853404255
"161" 11 "walking_upstairs" "tBodyAcc-mean()-X" 0.263775859277778
"162" 12 "walking_upstairs" "tBodyAcc-mean()-X" 0.272970338653846
"163" 13 "walking_upstairs" "tBodyAcc-mean()-X" 0.258203939581818
"164" 14 "walking_upstairs" "tBodyAcc-mean()-X" 0.26242106612963
"165" 15 "walking_upstairs" "tBodyAcc-mean()-X" 0.270187595833333
"166" 16 "walking_upstairs" "tBodyAcc-mean()-X" 0.255986102627451
"167" 17 "walking_upstairs" "tBodyAcc-mean()-X" 0.252604768583333
"168" 18 "walking_upstairs" "tBodyAcc-mean()-X" 0.265401201896552
"169" 19 "walking_upstairs" "tBodyAcc-mean()-X" 0.242118808925
"170" 20 "walking_upstairs" "tBodyAcc-mean()-X" 0.252098317156863
"171" 21 "walking_upstairs" "tBodyAcc-mean()-X" 0.265194544680851
"172" 22 "walking_upstairs" "tBodyAcc-mean()-X" 0.248391534566667
"173" 23 "walking_upstairs" "tBodyAcc-mean()-X" 0.249995171031373
"174" 24 "walking_upstairs" "tBodyAcc-mean()-X" 0.269881106779661
"175" 25 "walking_upstairs" "tBodyAcc-mean()-X" 0.277995411384615
"176" 26 "walking_upstairs" "tBodyAcc-mean()-X" 0.272691394545455
